"Year";"Victim's age";"Number of victims"
"2009";"- 4";224
"2009";"5 - 9";294
"2009";"10 - 14";323
"2009";"15 - 17";200
"2009";"18 - 20";288
"2009";"21 - 24";466
"2009";"25 - 34";1160
"2009";"35 - 44";1323
"2009";"45 - 54";944
"2009";"55 - 64";438
"2009";"65 -";137
"2010";"- 4";324
"2010";"5 - 9";426
"2010";"10 - 14";425
"2010";"15 - 17";224
"2010";"18 - 20";360
"2010";"21 - 24";548
"2010";"25 - 34";1362
"2010";"35 - 44";1369
"2010";"45 - 54";1039
"2010";"55 - 64";416
"2010";"65 -";139
"2011";"- 4";399
"2011";"5 - 9";529
"2011";"10 - 14";515
"2011";"15 - 17";354
"2011";"18 - 20";513
"2011";"21 - 24";852
"2011";"25 - 34";2241
"2011";"35 - 44";2209
"2011";"45 - 54";1680
"2011";"55 - 64";653
"2011";"65 -";249
"2012";"- 4";525
"2012";"5 - 9";753
"2012";"10 - 14";593
"2012";"15 - 17";324
"2012";"18 - 20";465
"2012";"21 - 24";887
"2012";"25 - 34";2276
"2012";"35 - 44";2075
"2012";"45 - 54";1703
"2012";"55 - 64";712
"2012";"65 -";230
"2013";"- 4";445
"2013";"5 - 9";528
"2013";"10 - 14";507
"2013";"15 - 17";342
"2013";"18 - 20";460
"2013";"21 - 24";743
"2013";"25 - 34";2110
"2013";"35 - 44";1819
"2013";"45 - 54";1548
"2013";"55 - 64";618
"2013";"65 -";278
"2014";"- 4";409
"2014";"5 - 9";627
"2014";"10 - 14";466
"2014";"15 - 17";259
"2014";"18 - 20";380
"2014";"21 - 24";688
"2014";"25 - 34";1987
"2014";"35 - 44";1743
"2014";"45 - 54";1431
"2014";"55 - 64";589
"2014";"65 -";257
"2015";"- 4";522
"2015";"5 - 9";843
"2015";"10 - 14";648
"2015";"15 - 17";324
"2015";"18 - 20";436
"2015";"21 - 24";840
"2015";"25 - 34";2063
"2015";"35 - 44";1719
"2015";"45 - 54";1488
"2015";"55 - 64";555
"2015";"65 -";284
"2016";"- 4";508
"2016";"5 - 9";774
"2016";"10 - 14";670
"2016";"15 - 17";324
"2016";"18 - 20";437
"2016";"21 - 24";820
"2016";"25 - 34";2163
"2016";"35 - 44";1806
"2016";"45 - 54";1440
"2016";"55 - 64";614
"2016";"65 -";313
"2017";"- 4";464
"2017";"5 - 9";802
"2017";"10 - 14";639
"2017";"15 - 17";326
"2017";"18 - 20";440
"2017";"21 - 24";742
"2017";"25 - 34";2111
"2017";"35 - 44";1906
"2017";"45 - 54";1248
"2017";"55 - 64";539
"2017";"65 -";306
"2018";"- 4";546
"2018";"5 - 9";889
"2018";"10 - 14";656
"2018";"15 - 17";318
"2018";"18 - 20";427
"2018";"21 - 24";722
"2018";"25 - 34";2095
"2018";"35 - 44";1870
"2018";"45 - 54";1339
"2018";"55 - 64";616
"2018";"65 -";375
